Questions,Answers,,,,,
What are the main responsibilities in your role?,"Coordinating between teams, managing special projects, and prioritizing tasks for direct reports.",,,,,
How do you manage the workload?,"Structured meetings and communication, managing tasks and priorities for each team member.",,,,,
What is the focus of Strike Realty?,"Internal focus on partnerships, liaising with clients, and managing real estate deals.",,,,,
Are there any external partnerships?,"Limited external partnerships, mostly internal focus within the real estate industry.",,,,,
What is the role of Strike Realty within Keller Williams?,"Strike Realty operates under the Keller Williams umbrella, coordinating with various teams and utilizing shared services and tools.",,,,,
What is the size of the teams you work with?,"Teams are not large, making it more manageable to coordinate and work with non-hierarchical structures.",,,,,
What is the background of the Chief of Staff?,"Started in sales at Box, transitioned to coordinating between teams in different roles, pursued an MBA, and now works as a Chief of Staff.",,,,,
What are the frustrations and challenges in your role?,"Challenges include bridging the gap between different teams, functions, and languages, and managing priorities and projects.",,,,,
What is the current focus of your MBA program?,"Wrapping up the MBA program while working as a Chief of Staff at a real estate investment firm and part-time with Aurora, an autonomous vehicle company.",,,,,
What is the structure of meetings with Keller Williams teams?,"Monthly or bi-weekly meetings with specific teams, such as the platform team and marketing team, to discuss website management, search engine optimization, and marketing strategies.",,,,,
What are the specific projects you work on?,"Projects include property valuation, investment analytics, prioritizing tasks, and managing special projects for the main partner.",,,,,
How do you handle internal and external communication?,"Internal communication is more frequent, while external communication is limited to specific real estate deals and partnerships.",,,,,
What is the size of the real estate investment team?,"The team size is manageable, allowing for effective coordination and communication within the non-hierarchical structure.",,,,,
Which meetings do you find most demanding?,External meetings with partners at Aurora,,,,,
How do you communicate insights to the engineering team?,Bi-weekly meetings with team managers and separate meetings with specific teams,,,,,
How are customer insights synthesized and disseminated?,"Occasional surveys, meeting notes, and physical test data",,,,,
What challenges do you face in managing customer insights?,Difficulty in finding commonality across multiple partners and determining specific functionality,,,,,
What scenarios do customers describe?,"Long haul road tests, rental fleets, and avoiding central hubs",,,,,
Who collects the anecdotal pieces of information?,There are partner managers who work with me that collect anecdotal information from customers.,,,,,
What is your role in the process?,Your role is to ensure that the collected information reaches the relevant people and coordinate meetings.,,,,,
How does the tool function?,The tool takes analytics and synthesizes key points from meetings to provide summaries.,,,,,
How would the tool fit into your workflow?,The tool would be helpful for partner coordination and providing summaries to engineering team leaders.,,,,,
Are conversations mostly happening in person or virtually?,"Conversations happen both in person and virtually, with virtual meetings being more common.",,,,,
Is there any existing tool to help with note-taking?,"Some people use a tool in the CRM that records conversations, but it requires listening to the audio.",,,,,
How are tools adopted at Aurora or the real estate firm?,"The adoption process for tools has been ad hoc, with brokerage partners deciding on the tools they want to use.",,,,,
How are tool implementations handled in the company?,"For most teams, tool implementations are done with one or two push on done decisions. However, for Aurora, it's more in-depth and requires team and director approval.",,,,,
What is the process for implementing tools?,"There is no major RFP process. If a tool is within the team budget, the manager can start using it. For tools with security requirements, a security analysis is done and then it goes to IT for approval.",,,,,
Are there company-wide implemented tools?,"Yes, there are some tools implemented company-wide. There is also a list of whitelisted tools that can be implemented by any team after getting approval.",,,,,
What are some of the skills that can help our business?,The speaker mentioned having a network and skills that can elevate the business.,,,,,
What were the proposals on Discord?,The speaker found the proposals interesting and had not previously considered Discord.,,,,,
What is the speaker's background in copywriting?,The speaker expressed interest in hearing about the executive's ideas and background in copywriting.,,,,,
How does the executive typically work with startups?,The executive was interested in understanding how the speaker works with newly formed companies.,,,,,
What is Osmo and its purpose?,The speaker explained that Osmo aims to make it easy to create custom apps and use speech as an intuitive interface for computing.,,,,,
What is the speaker's view on the future of software development?,"The speaker believes that the cost of creating applications will decrease, making it easier for people to create custom apps.",,,,,
What is the privacy concern with voice conversations?,The executive highlighted the importance of privacy in voice conversations and expressed concerns about recording and sharing.,,,,,
What are some competitors in the market?,"The speaker mentioned competitors like Otter AI and Fireflies that offer meeting transcription services, but people dislike the intrusive nature of their methods.",,,,,
What were some of the issues discussed regarding permissioning?,"There were concerns about permissioning issues when using Zoom, which can be solved with Osmo.",,,,,
What are the advantages of using Osmo?,"Osmo works on any device, online or offline, and provides transcription and listening capabilities.",,,,,
How can Discord be utilized for marketing?,"Discord can be used to reach a large network of people, including developers and professionals looking to improve their skills.",,,,,
Why would Osmo be an easy sell on Discord?,"Discord users are already engaged in conversations and seeking ways to improve, making Osmo's transcription and note-taking features appealing.",,,,,
Has the speaker seen success in promoting businesses on Discord?,"The speaker has helped promote an AI tech startup on Discord, resulting in 30 users within the first day.",,,,,
What other social media platforms have shown success in promoting businesses?,"Instagram has been successful for copywriters, with increased click rates and client acquisition.",,,,,
How can Instagram traffic be generated without paid ads?,By identifying influencers with around 10k followers and sending them direct messages about the product.,,,,,
What are some potential target audiences for Osmo?,"Productivity influencers, student ambassadors, and students looking to summarize lecture notes.",,,,,
Are there any concerns about Osmo's compatibility with older laptops?,"There may be compatibility issues with older laptops, which could impact the product's fit for students.",,,,,
What are the speaker's thoughts on using reels for organic traffic on Instagram?,"Reels can be effective for generating organic traffic on Instagram, especially for promoting Osmo to target audiences.",,,,,
How do you typically work with startups?,"Research the startup, prepare copies, and email them to get on a call and understand their needs.",,,,,
What is your typical kind of engagement with startups?,"Currently not working with any clients, but would adapt to their needs and work during their preferred times.",,,,,
How did you get started in copywriting?,"Got interested in technology and AI, explored ways people make money, and found copywriting as a way to interact with businesses.",,,,,
Are you looking for steady work or performance-based outcomes?,"Looking for interaction, learning market trends, gaining skills and experience, and also motivated by financial rewards.",,,,,
What are your goals for Osmo?,"Create something useful and valuable, distribute the MVP, and self-fund the project for long-term growth.",,,,,
What is the measurement of work for Osmo?,The measurement of work for Osmo is based on the number of downloads that people create.,,,,,
What is the suggested way to work together?,The suggested way to work together is to send out a certain number of emails each week and track the results based on the number of downloads.,,,,,
What are the short-term goals?,"The short-term goals include establishing Osmo on Instagram and Discord, creating a server on Discord, and spreading awareness through outreach.",,,,,
How can the collaborator be added on Instagram?,The collaborator can be added by tagging their Instagram account in the bio section of the Osmo AI Instagram page.,,,,,
What communication channel will be used?,"Email will be used as the primary communication channel, but Slack is also available if needed.",,,,,
What are the working hours?,The collaborator is in a time zone that is plus six hours from the executive's time zone.,,,,,
What is the background of the speaker?,The speaker has worked at Dr. Squatch and currently works at a VC plus nonprofit organization called Helena.,,,,,
What is the size of the team the speaker works with?,"The team consists of around 10 people, with a split of 60% for-profit and 40% non-profit.",,,,,
What are some unique challenges in the speaker's role?,"One of the challenges is information parity, where personal calls and lack of shared context hinder productivity and effective work assignment.",,,,,
What are the consequences of the lack of shared information?,"Consequences include minor irritations, duplication of work, underutilization of team capacity, and lack of context leading to misunderstandings.",,,,,
Are there any plans to address the issue?,"No effective solutions have been found yet, as senior management is resistant to engaging in process development and behavior change.",,,,,
What has been tried to address the issue?,"Attempts have been made to use voice memos and Slack, as well as joining every call and using an air table for tracking, but none have been consistently successful.",,,,,
What is the team discussion about?,"The team discussed the challenges with tracking sales conversations and deal flow, and the need for better communication and documentation.",,,,,
What metric would help solve the problem?,"Tracking the number of conversations and key takeaways, or having salespeople calendar their calls and leave a voice note after each call.",,,,,
How does the team currently remember conversations?,The team relies on personal note-taking during calls and using OneNote to document key takeaways and next steps.,,,,,
What actions are taken after a conversation?,"The team summarizes key takeaways, sends next steps to the appropriate group, and tags relevant individuals in Slack.",,,,,
How long does it take to perform these actions?,"It takes between 5 to 15 minutes, depending on the complexity of the meeting.",,,,,
What actions are taken before a conversation?,"There is no specific preparation before a conversation, except for reviewing emails to understand any relevant context.",,,,,
"If one thing could be automated, what would it be?","Automating a pop-up prompt after a call to remind salespeople to calendar their calls, note key takeaways, and identify who needs the information.",,,,,
What automation flow or schedule was suggested?,"Using Google Calendar to trigger a Slack message with a form link for call debriefs, and integrating with CRM software like DealCloud, HubSpot, or Microsoft Dynamics.",,,,,
Why is this automation important?,"The automation ensures a shared repository of information, prevents information from being limited to one person's knowledge, and aids in individual documentation.",,,,,
Any other automation ideas?,"No other significant ideas were mentioned, as some suggestions were considered intrusive or not feasible at the moment.",,,,,
What is the discussion about?,The discussion is about the use of drums in music and the possibility of running out of new music.,,,,,
Is drumming going out of style?,"Drumming is evolving, and while traditional drums may be used less, drum machines are still being used.",,,,,
Is it possible to run out of new music?,It is impossible to run out of new music as there is always a demand for new sounds and music.,,,,,
What is Osmo?,"Osmo is a tool that helps automate meeting preparation, including summarizing conversations and extracting information.",,,,,
What are some pain points that Osmo addresses?,"Osmo helps with note-taking, summarization, and automation of tasks before and after meetings.",,,,,
What are the output formats of Osmo?,"Osmo offers formats such as questions and answers, action items, bullet points, and translations.",,,,,
Can Osmo be trained to match a specific style?,"Yes, Osmo can be trained to match a specific style, such as investment memos.",,,,,
Is Osmo recording conversations?,"No, Osmo does not record conversations as all speech recognition happens on the user's device.",,,,,
Does Osmo bypass recording laws?,"Osmo does not violate recording laws as it does not record conversations, similar to a motion sensor or voice assistant.",,,,,
How did you end up and why did you choose to become a Chief of Staff?,I wanted to experience being at a B2B company and see what it means to be at a company in the $10 million to $100 million range.,,,,,
Which stakeholders do you mainly interface with?,"I mainly interface with the CEO, followed by the CRO, VP of Marketing, VP of CS, and VP of Product.",,,,,
How would you categorize the meetings you have?,"90% of the meetings are updates, while 10% are one-on-ones.",,,,,
Are there any challenges or frustrations with these meetings?,"Everyone complains about the meetings, but it's more of a cultural issue rather than a problem for anyone.",,,,,
How many hours do you spend in meetings daily?,I spend four to five hours daily in meetings.,,,,,
Do you think every meeting can be better?,"Yes, every meeting can be improved, but it's challenging to balance cross-functional collaboration and communication.",,,,,
What do you think is the root cause of the... if you ha...,Too many priorities and lack of accountability lead to action items not being followed through in a timely manner.,,,,,
How frequently at the end of a meeting are there action items or,Action items are assigned at the end of every meeting.,,,,,
How frequently does follow-through on action items happen?,Follow-through on action items is inconsistent due to competing priorities.,,,,,
Do you currently use any tools to help you remember conversations?,"No, I use a physical board to track conversations and meetings.",,,,,
Why don't you use tools like Asana for note-taking and running meetings?,Asana was tried but did not support goal tracking and lacked a culture of accountability.,,,,,
Is improving accountability a priority at the company?,"Accountability is not a strategic priority, but the CEO expects it to be upheld.",,,,,
What actions do you typically take after a conversation?,"I do a lot of follow-up over Slack to ensure tasks are completed, but it can be time-consuming and varies based on individual preferences.",,,,,
What are the challenges in following up with different individuals?,"Different individuals have different follow-up styles and response times, making it challenging to ensure timely completion of tasks.",,,,,
"If you could automate one thing before or after conversations, what would it be?",Automating reminders and integrating them with calendars would help improve task completion and accountability.,,,,,
What is the main challenge in the current workflow?,The main challenge is the need for constant reminders and follow-ups to ensure tasks are completed.,,,,,
How do action items get communicated to the team?,Action items are communicated through Slack messages and Google Calendar invites.,,,,,
What happens if action items are not followed up on?,"If action items are not followed up on, tasks may not be completed and important meetings may not be productive.",,,,,
How have others tried to solve this problem?,"Others have focused on OKR tracking software, but have not addressed the need for reminders and follow-ups.",,,,,
What would be the ideal workflow?,The ideal workflow would involve automatic calendar invites with built-in reminder sequences for action items.,,,,,
How would this improve the current workflow?,Automating reminders and follow-ups would reduce the need for manual intervention and ensure tasks are completed on time.,,,,,
"Do you have a cadence for those? Like at, you know, deadline is let's say this Friday.","No, I don't have a specific cadence. I usually look at my calendar on Sunday and try to remind the group of upcoming meetings for the week.",,,,,
Have you tried any software or automation tools to solve this problem?,"I tried connecting Asana to Zapier and Google Calendar, but it was a total mess and didn't work well. I haven't found a tool that solves my problem.",,,,,
What are the key features you would like to have in a solution?,"I would like integration with Slack and Google Calendar, as well as the ability to summarize previous emails from attendees within one month.",,,,,
What is the main challenge in building a solution for this problem?,"The main challenge is the complexity of integrating Slack, Google Calendar, and email summarization. It's a hard technology problem to solve.",,,,,
What is the common pain point you have discovered in your user discovery calls?,"The common pain point is handling too much information, different communication styles, and personalities. Structure and automation can only provide a small improvement.",,,,,
What software or tools have you tried before?,"I tried connecting Asana to Zapier and Google Calendar, but it didn't work well. I haven't tried any other software or tools since then.",,,,,
What was your experience with the software you tried?,It was a total mess and didn't work well. I couldn't set rules for reminders and it caused issues with my calendar.,,,,,
Do you have a specific follow-up cadence in mind?,"No, I don't have a specific cadence. I expect some inefficiency and repeating information, but having contextual data summarized would be great.",,,,,
What is the scale of the problem you're facing?,"The problem is significant, but I'm unsure if it's a venture-scale problem or if it's worth investing in a solution. It may be more relevant for larger companies.",,,,,
What are the key features you would like to have in a solution?,"Integration with Slack and Google Calendar, as well as the ability to summarize previous emails and provide contextual data for meetings.",,,,,
What challenges have you faced in building a solution?,"The main challenge is the complexity of integrating different tools and systems, as well as the lack of a tool that effectively solves the problem.",,,,,
What is the common pain point you have discovered in your user discovery calls?,"The common pain point is handling too much information, different communication styles, and personalities. Structure and automation can only provide a small improvement.",,,,,
What software or tools have you tried before?,"I tried connecting Asana to Zapier and Google Calendar, but it didn't work well. I haven't tried any other software or tools since then.",,,,,
What was your experience with the software you tried?,It was a total mess and didn't work well. I couldn't set rules for reminders and it caused issues with my calendar.,,,,,
How has the role of Chief of Staff grown over the last couple of years?,"The role has grown significantly, even within their organization, with the number of Chiefs of Staff increasing from one to nine or ten.",,,,,
Why has the role of Chief of Staff become more prominent?,The role provides a second set of hands for leaders and serves as an opportunity for someone to gain executive training.,,,,,
How would you categorize the conversations you have in your role?,"Conversations range from educational business development to finance, operations, HR, networking, and recurring meetings.",,,,,
Which type of conversation is the most demanding?,"All conversations are demanding, but the Chief of Staff role also involves random projects that require additional time and effort.",,,,,
What is the chaotic part of the role?,The chaotic part is the constant influx of random projects that require strategy development and execution without much context or support.,,,,,
What kind of work happens after these beauty calls?,"There is always follow-up work, such as setting up meetings or starting necessary frameworks.",,,,,
Do you use anything to help you remember conversations?,"Notion is used for note-taking, but there is no specific tool for remembering conversations.",,,,,
Have you ever forgotten something important that you wish you could recall?,"No, important things are prioritized in memory, but other details may be forgotten.",,,,,
Do you have anything that you typically do after a conversation?,"Actions are taken based on the conversation, such as setting up meetings or informing the boss.",,,,,
How long does it take to compile the actions after a conversation?,It takes approximately six to seven minutes to compile the actions.,,,,,
"If you could automate one thing before or after a conversation, what would it be?","Having a summary of key points and action steps, with reminders and assignments, would be helpful.",,,,,
Why is it difficult to try out recording tools like author.ai?,"Company security measures require approved vendors, which can be a lengthy process.",,,,,
What pain points are you trying to address with your Build a Flow workshop?,The workshop aims to automate tasks related to conversation summaries and search purposes.,,,,,
Can you describe the instance of automating tools together?,Automating tools together would eliminate the need for multiple tools and allow for easier access to information.,,,,,
What is one example of an interesting automation idea?,"An example is automating the process of providing a Zoom link, attendees, LinkedIn profiles, and a summary of previous emails before a meeting.",,,,,
What are the challenges in automating certain tasks?,"Challenges include privacy and ethical considerations, difficulty in accessing certain data, and the need for data to flow through central systems.",,,,,
How do you remember important conversations?,The speaker relies on direct actions from each call and maintains a list of tasks to be done immediately after the call.,,,,,
What is the main advantage of the speech recognition tool?,"The tool uses local machine speech recognition, does not store audio, and ensures privacy and consent.",,,,,
What is the speaker's interest in trying out the tool?,"The speaker finds the tool's features impressive and wants to try it out, as it would be beneficial for their work and they plan to share it with others.",,,,,
Why is it a desktop app?,To ensure audio is not sent to the cloud or any private server and to utilize the neural net as a resource.,,,,,
What is the next layer of the conversation?,"To automate follow-ups and integrate with various platforms like CRM, QuickBooks, Jira, and LinkedIn.",,,,,
What are some specific features requested?,"QuickBooks integration, Jira integration, LinkedIn data extraction, and B2B capabilities.",,,,,
What are the challenges faced by Chief of Staffs?,"Difficulty in tracking and summarizing projects, meetings, and key achievements.",,,,,
How can the product help Chief of Staffs?,"By providing a comprehensive overview of projects, meetings, and key achievements, saving time and improving performance management.",,,,,
What are the potential target markets?,"Large corporations, startups, and individuals who can benefit from the product's features and integrations.",,,,,
What is the go-to-market strategy?,Initially targeting a wide audience and later focusing on specific target groups like Chief of Staffs.,,,,,
How can the product be scaled?,"Through referrals, partnerships with large corporations, and offering different pricing options based on the target market.",,,,,
What are the potential challenges in scaling?,Ensuring seamless sharing and adoption of the product among users.,,,,,
Is there a need for major scaling?,"Scaling can be beneficial, but it depends on the target market and the product's ability to go viral through referrals.",,,,,
What are the next steps for scaling?,"Exploring referral programs, partnerships, and targeting specific industries like brokers.",,,,,
What are the potential benefits of the product?,"Time-saving, improved productivity, and the ability to track and summarize projects and meetings.",,,,,
What is the potential pricing model?,"Monthly subscription-based pricing, with different tiers based on the target market and features offered.",,,,,
What is the potential value proposition?,"Saving time and improving performance management, with the potential for significant time savings for users with high meeting volumes.",,,,,
What is the potential market size?,"Large, considering the product's applicability to various industries and roles.",,,,,
What are the potential marketing strategies?,"Referral programs, partnerships, targeted advertising, and leveraging personal networks.",,,,,
What are the potential challenges in marketing?,"Creating awareness, building trust, and differentiating the product from competitors.",,,,,
What are the potential competitors?,"Other meeting transcription and productivity tools, as well as manual methods of tracking and summarizing meetings.",,,,,
What are the potential differentiators?,"Advanced features, integrations with popular platforms, and a user-friendly interface.",,,,,
What is the potential revenue model?,"Subscription-based revenue model, with potential for additional revenue streams through partnerships and enterprise agreements.",,,,,
What didn't you like about art?,It's hard to price and depends on how it's used.,,,,,
How can the transcription service be made more accessible?,"Make it free and available for download, with no scaling or user limitations.",,,,,
Is there a concern about confidentiality?,"Confidential conversations cannot be put in AI, but there is an offline chat GPT option.",,,,,
How did you end up here?,The speaker has a master's degree in organizational psychology and has worked in multiple chief of staff positions.,,,,,
What is unique or challenging about the Chief of Staff role?,The role requires both technical understanding and the ability to mediate between executives. It also involves coaching and constant availability.,,,,,
What is the speaker passionate about in the Chief of Staff role?,The speaker is passionate about being involved in all aspects of the organization without owning any specific responsibilities. They also enjoy coaching and collaborating with leaders.,,,,,
Are you creating self-service mechanisms for folks to find information themselves?,"Yes, self-service mechanisms are being implemented, such as email notifications and links to reports for easy access.",,,,,
How would you categorize the calls you have?,"Calls are categorized into information sharing, problem solving, purpose-driven check-ins, and long-term planning.",,,,,
Which types of conversations require the most preparation?,Daily syncs with engineering and manufacturing teams require the most preparation to ensure up-to-date information is discussed.,,,,,
Do you use any tools to help with capturing conversations?,"No, conversations are captured in Confluence and personal notes in Notion, following the 'capture, control, configure' method.",,,,,
How do you manage information with dyslexia and ADHD?,"The speaker builds mental models and spider webs to connect information, allowing for quick recall and understanding of complex topics.",,,,,
Can you walk me through the flow of synthesizing and archiving tasks notes?,Tasks are archived in Notion by pulling them into a page called archive. JIRA is not used due to longer setup time.,,,,,
What is one thing you would automate before or after conversations?,"Automating updates and suggestions for next steps would be beneficial. Also, managing commitments and onboarding information.",,,,,
Are there any flows you would love to have in your internal tools?,Having Gong suggest next steps and tagging people for review. Extracting information from Teams chat and integrating Slack and JIRA.,,,,,
Is there anything on a quarterly basis that you would like to stitch together?,"Performance management, especially in collaboration with the chief of staff, to gather real-time information and 360 feedback.",,,,,
What is your favorite project management tool?,"Mooncamp, which resembles Notion, allows for easy switching between quarters and viewing information from individuals.",,,,,
What is the team discussion about?,"The team discussed performance management, organizational psychology, and the need for a flexible conversation-focused tool.",,,,,
What is the key difference of the Zoom TransAI process suggestion?,The key difference is that the transcription happens on the device and the audio is never stored.,,,,,
What is the purpose of the flexible conversation-focused tool?,The purpose is to provide a tool that can integrate with different platforms and workflows used by individuals.,,,,,
What is your background?,I saw into Cal and then I came out of Berkeley thinking I was going to go to law school and ended up working at a legal tech startup called Atrium.,,,,,
Tell me about your experiences as a Chief of Staff.,"I had two different experiences. One was more executive-focused, while the other was more function-specific. The roles varied in terms of responsibilities and level of trust.",,,,,
What is the role of a Chief of Staff?,"The role is self-defined and can vary depending on the organization. It can involve working closely with a principal, leading specific functions, or even running the organization on behalf of the CEO.",,,,,
What is the goal of a Chief of Staff?,The goal is to serve as a senior advisor and provide high-level knowledge and insights. The White House Chief of Staff model is a good example of this.,,,,,
How did your role on deck differ from your previous experience?,"My role on deck was more tier two to tier three, with a focus on specific functions and high trust. I had full access to financials, banking, and the CEO's inbox.",,,,,
What is your current project?,"I'm currently working on my own project, and I'm open to discussing it further and exploring potential collaborations.",,,,,
What are you building for Chief of Staff?,"I'm building a product for Chief of Staff, and I'm interviewing people to gather insights and determine the direction of the project.",,,,,
What is your approach to ideation and customer feedback?,I believe in ideating while chatting with customers and gathering feedback to refine the product. The role of Chief of Staff is often nebulous and requires constant adaptation.,,,,,
What were your experiences at Atrium and On Deck?,"At Atrium, I gained experience working with corporate lawyers and witnessed the hype surrounding the startup. At On Deck, I helped scale the company and faced challenges when a major investor pulled out.",,,,,
What led you to start working on your own project?,"After receiving positive feedback and financial support from friends, I decided to take the leap and work on my own project.",,,,,
What is your interest in the Chief of Staff role?,I'm interested in the Chief of Staff role and building a product for it. I'm currently exploring the market and gathering insights from potential users.,,,,,
What is your framework for understanding the Chief of Staff role?,I categorize the role into tiers based on the level of responsibility and relationship with the principal or organization. It can range from executive-focused to being a senior advisor.,,,,,
What is your working pattern with the CEO?,"In my previous role, I had a high level of trust and worked closely with the CEO. I had full access to various aspects of the company and was embedded into everything from day one.",,,,,
What is the role of a Chief of Staff in an organization?,"The role can involve various responsibilities, such as talent acquisition, product management, or legal matters. It is a versatile role that supports the CEO and the organization as a whole.",,,,,
What were the biggest differences in your role?,"Different working methods and communication patterns, with some being brought in for specific core functions and others as high functioning executioners.",,,,,
How would you categorize the conversations you had?,"Majority of calls were with service providers, followed by founders and internal discussions.",,,,,
What were the demanding aspects of your role?,"Micromanagement, communication, tracking, and working styles were challenging, especially in internal calls.",,,,,
Did you use anything to help remember conversations?,"Various documents and trackers were used to keep track of discussions, outcomes, and accountability.",,,,,
How did you handle external conversations?,"Used different tools like Notion, plugins, and automation to streamline communication and automate processes.",,,,,
What are some tools that the team discussed?,"Slack integrations, Google Docs, Notion, Loom, Textblaze, and a Slack tool for assignments and reminders.",,,,,
What is the team's perspective on complexity versus efficiency?,"The team believes that simplicity and ease of use are important factors in choosing tools, with Apple Notes and Notion being praised for their simplicity.",,,,,
What are the key considerations for choosing tools?,"The ease of navigation, accessibility, and how easy it is to use were highlighted as important factors in tool selection.",,,,,
What is the team's preference for automating tasks?,"The team expressed a desire for automation in tasks such as reminders, documentation, and calendar submissions after calls.",,,,,
Did the team try any workarounds to solve automation challenges?,The team mentioned using Textblaze for shortcuts and a Slack tool for assignments and reminders.,,,,,
What tools would the team have loved to have as a chief of staff?,Airtable and a CRM system were mentioned as tools that would have been beneficial for data manipulation and organization.,,,,,
What is the team's perspective on data flow and automation?,The team expressed interest in seamless data flow between various tools and the need for automation to streamline processes.,,,,,
What is the team's perspective on operationalizing information?,The team emphasized the importance of operationalizing information and pushing it to the appropriate platforms or individuals for action.,,,,,
What is the team's perspective on faster iterations and reminders?,"The team highlighted the need for faster iterations and reminders, especially when waiting for responses or actions from external parties.",,,,,
What is the team's perspective on tools for operational items?,The team mentioned the idea of a 'co-pilot' tool that can extract operational items from calls and help manage them effectively.,,,,,
What are some tools that the team found useful?,"Textblaze, a Slack tool for assignments and reminders, and a startup called Outreach were mentioned as useful tools.",,,,,
What are some tools that the team would have liked to try?,Airtable and a CRM system were mentioned as tools the team would have liked to explore for data management.,,,,,
What is the team's perspective on data spread across multiple platforms?,The team acknowledged the challenge of information being spread across multiple platforms and the need to consolidate and manage it effectively.,,,,,
What is the team's perspective on a 'build a flow' workshop?,"The team expressed interest in a workshop that focuses on seamless data flow and automation, particularly in the context of conversations and pain points.",,,,,
What are some key pain points mentioned by the team?,"Data manipulation, CRM management, and the need for automation were highlighted as key pain points by the team.",,,,,
What are some key considerations for choosing a CRM system?,The team mentioned air table and affinity as CRM options and highlighted the importance of ease of use and data manipulation capabilities.,,,,,
What are some key considerations for choosing tools for data manipulation?,"Airtable and affinity were mentioned as tools for data manipulation, with a focus on ease of use and functionality.",,,,,
What are some key considerations for choosing tools for reminders and assignments?,"The team mentioned a Slack tool for assignments and reminders, emphasizing the need for responsiveness and ease of use.",,,,,
What are some key considerations for choosing tools for faster iterations?,"The team highlighted the importance of tools that enable faster iterations and reminders, particularly when waiting for external responses.",,,,,
What are some key considerations for choosing tools for operationalizing information?,The team emphasized the need for tools that can operationalize information and push it to the appropriate platforms or individuals for action.,,,,,
What are some key considerations for choosing tools for seamless data flow?,The team expressed interest in tools that facilitate seamless data flow between various platforms and enable automation.,,,,,
What are some key considerations for choosing tools for consolidating information?,The team highlighted the challenge of information being spread across multiple platforms and the need for tools that can consolidate and manage it effectively.,,,,,
What was one issue discussed in the meeting?,"One issue discussed was the need to have a specific format for calls, ensuring everyone knows the context and the ask.",,,,,
Was there any difficulty in gathering information for updates?,"Yes, there was difficulty in gathering information for updates, as there were Slack channels with a lot of information that needed to be sorted through.",,,,,
What is the main purpose of Osmo?,"The main purpose of Osmo is to provide a tool for recording and transcribing audio conversations, with a focus on streamlining the process and enabling action.",,,,,
What challenges may arise in adopting new tools?,"Challenges in adopting new tools include the need for someone to set up and teach others how to use them, as well as resistance to change from team members.",,,,,
What should be kept in mind when using Osmo?,It is important to keep in mind that Osmo's output may require tweaking and adjusting the flow to achieve the desired results.,,,,,
How would you describe the role as unique from a COO or product owner role?,"As a Chief of Staff, the role is primarily as an IC, responsible for identifying key metrics, surfacing them to the executive team, and handling external communications.",,,,,
How would you define operational efficiency?,Running processes and projects in a streamlined way to ensure fast results.,,,,,
Can you tell me about an instance of operational inefficiency?,"During a recent layoff, the communication process was inefficient, with multiple iterations and delays in getting approvals.",,,,,
What are some inefficiencies in the OKR process?,The OKR process can be inefficient due to slow refinement of key results and multiple iterations to reach the final answer.,,,,,
How would you categorize the conversations you have based on your calendar?,"40% focused time, 20% one-on-ones with senior leaders, 20% functional team meetings, 10% exact team meetings, 10% miscellaneous",,,,,
Which type of meetings do you find most frustrating?,"Functional team meetings due to lack of preparation, unclear outcomes, and bad meeting etiquette",,,,,
What is considered good meeting etiquette?,"Having an agenda, action items, sending pre-reads, and limiting the audience",,,,,
What percentage of meetings have good etiquette?,Approximately 25%,,,,,
Do you use any tools to help with meetings?,"Lattice for one-on-ones, no other tools consistently",,,,,
Do you also take external meetings?,"Yes, for board meetings, investor meetings, and partnership opportunities",,,,,
Have you ever needed to combine information from multiple applications?,"Yes, for synthesizing insights and information from internal adopt descriptions, Slack, texts, and Lever",,,,,
Have you tried any tools to help with information synthesis?,"No, but considered using Rewind for personal use",,,,,
What were your thoughts on Rewind?,"Haven't played with it, but if it works, it would be amazing",,,,,
Have you developed any workarounds or manual processes for information management?,"No, but created cheat sheets for specific topics and relevant links/screenshots from Slack",,,,,
What would an ideal workflow with integrated solutions look like?,"Being able to see all content and information in one place, regardless of format, and automatically pulling in information for updates.",,,,,
What would help with your workflow?,"Having a summary from previous occurrences of meetings, receiving automated summaries and updates, and being able to easily find and share information.",,,,,
Is there anything else that would help with your workflow?,"Automating tasks such as sending meeting links, attendee information, and summaries of previous emails.",,,,,
What other tools do you use?,Tools such as Lever for recruiting and communication channels like emails and text messages.,,,,,
What do you do with one-on-one meetings?,One-on-one meetings primarily live in Lattice and there is no specific action taken with the information discussed.,,,,,
Do you do anything with the information discussed in offsite meetings?,There is no specific tool or process to capture and track information discussed in offsite meetings.,,,,,
How can a tool capture and track important conversations between offsite meetings?,There is currently no efficient way to tag and track important conversations between offsite meetings.,,,,,
What are the challenges in capturing and tracking important conversations?,The challenge lies in distinguishing important conversations from the noise and finding a way to easily bring them back for future discussions.,,,,,
Is your goal to build like a workflow tool for Chief of Staff specifically?,"Yes, the goal is to build a customizable workflow tool that can follow the flow of conversations.",,,,,
How did you get into the Chief of Staff role?,"Had a background in law and finance, started a successful digital media brand.",,,,,
How is the early stage investment going?,"Partnered with someone, looking at future opportunities.",,,,,
What company were you introduced to?,Introduced to a company called Backflip.,,,,,
What role were they recruiting for?,Recruiting for a general counsel role.,,,,,
What experience did you have?,Had experience in FinTech and Real Estate.,,,,,
What customer profile does Backflip serve?,Backflip serves customers in the home flipping industry.,,,,,
What role did you join as?,Joined as a chief of staff.,,,,,
